,neigh,gentri,conteo,percentage
28,Baisley Park,LI - Not Losing Low Income Households,7,0.2692307692307692
29,Baisley Park,LI - Ongoing Gentrification and/or Displacement,2,0.07692307692307693
30,Baisley Park,MHI - Advanced Exclusion,3,0.11538461538461539
31,Baisley Park,MHI - Advanced Gentrification,5,0.19230769230769232
32,Baisley Park,MHI - At Risk of Exclusion,1,0.038461538461538464
33,Baisley Park,MHI - Not Losing Low Income Households,6,0.23076923076923078
34,Baisley Park,MHI - Ongoing Exclusion,2,0.07692307692307693
35,Bath Beach,LI - At Risk of Gentrification and/or Displacement,2,0.09090909090909091
36,Bath Beach,LI - Not Losing Low Income Households,4,0.18181818181818182
37,Bath Beach,LI - Ongoing Gentrification and/or Displacement,5,0.22727272727272727
38,Bath Beach,MHI - Advanced Exclusion,2,0.09090909090909091
39,Bath Beach,MHI - Advanced Gentrification,3,0.13636363636363635
40,Bath Beach,MHI - At Risk of Exclusion,3,0.13636363636363635
41,Bath Beach,MHI - Not Losing Low Income Households,2,0.09090909090909091
42,Bath Beach,MHI - Ongoing Exclusion,1,0.045454545454545456
43,Battery Park City-Lower Manhattan,LI - Ongoing Gentrification and/or Displacement,1,0.0625
44,Battery Park City-Lower Manhattan,MHI - Advanced Exclusion,10,0.625
45,Battery Park City-Lower Manhattan,MHI - Advanced Gentrification,1,0.0625
46,Battery Park City-Lower Manhattan,MHI - At Risk of Exclusion,2,0.125
47,Battery Park City-Lower Manhattan,MHI - Not Losing Low Income Households,2,0.125
48,Bay Ridge,LI - At Risk of Gentrification and/or Displacement,2,0.05128205128205128
49,Bay Ridge,LI - Not Losing Low Income Households,6,0.15384615384615385
50,Bay Ridge,LI - Ongoing Gentrification and/or Displacement,6,0.15384615384615385
51,Bay Ridge,MHI - Advanced Exclusion,8,0.20512820512820512
52,Bay Ridge,MHI - Advanced Gentrification,3,0.07692307692307693
53,Bay Ridge,MHI - At Risk of Exclusion,7,0.1794871794871795
54,Bay Ridge,MHI - Not Losing Low Income Households,6,0.15384615384615385
55,Bay Ridge,MHI - Ongoing Exclusion,1,0.02564102564102564
56,Bayside-Bayside Hills,LI - Not Losing Low Income Households,4,0.12121212121212122
57,Bayside-Bayside Hills,MHI - Advanced Exclusion,14,0.42424242424242425
58,Bayside-Bayside Hills,MHI - At Risk of Exclusion,2,0.06060606060606061
59,Bayside-Bayside Hills,MHI - Not Losing Low Income Households,10,0.30303030303030304
60,Bayside-Bayside Hills,MHI - Ongoing Exclusion,3,0.09090909090909091
61,Bedford,LI - At Risk of Gentrification and/or Displacement,8,0.21052631578947367
62,Bedford,LI - Not Losing Low Income Households,6,0.15789473684210525
63,Bedford,LI - Ongoing Gentrification and/or Displacement,13,0.34210526315789475
64,Bedford,MHI - Advanced Exclusion,2,0.05263157894736842
65,Bedford,MHI - Advanced Gentrification,9,0.23684210526315788
66,Bedford Park-Fordham North,LI - At Risk of Gentrification and/or Displacement,10,0.45454545454545453
67,Bedford Park-Fordham North,LI - Not Losing Low Income Households,1,0.045454545454545456
68,Bedford Park-Fordham North,LI - Ongoing Gentrification and/or Displacement,5,0.22727272727272727
69,Bedford Park-Fordham North,MHI - Advanced Exclusion,1,0.045454545454545456
70,Bedford Park-Fordham North,MHI - Advanced Gentrification,2,0.09090909090909091
71,Bedford Park-Fordham North,MHI - At Risk of Exclusion,2,0.09090909090909091
72,Bedford Park-Fordham North,MHI - Ongoing Exclusion,1,0.045454545454545456
73,Bellerose,LI - At Risk of Gentrification and/or Displacement,2,0.125
74,Bellerose,LI - Not Losing Low Income Households,1,0.0625
75,Bellerose,MHI - Advanced Exclusion,4,0.25
76,Bellerose,MHI - At Risk of Exclusion,1,0.0625
77,Bellerose,MHI - Not Losing Low Income Households,7,0.4375
78,Bellerose,MHI - Ongoing Exclusion,1,0.0625
79,Belmont,LI - At Risk of Gentrification and/or Displacement,7,0.5
80,Belmont,LI - Not Losing Low Income Households,2,0.14285714285714285
81,Belmont,LI - Ongoing Gentrification and/or Displacement,4,0.2857142857142857
82,Belmont,MHI - Not Losing Low Income Households,1,0.07142857142857142
83,Bensonhurst East,LI - At Risk of Gentrification and/or Displacement,11,0.2894736842105263
84,Bensonhurst East,LI - Not Losing Low Income Households,10,0.2631578947368421
85,Bensonhurst East,LI - Ongoing Gentrification and/or Displacement,13,0.34210526315789475
86,Bensonhurst East,MHI - Advanced Exclusion,1,0.02631578947368421
87,Bensonhurst East,MHI - Advanced Gentrification,1,0.02631578947368421
88,Bensonhurst East,MHI - Not Losing Low Income Households,1,0.02631578947368421
89,Bensonhurst East,MHI - Ongoing Exclusion,1,0.02631578947368421
90,Bensonhurst West,LI - At Risk of Gentrification and/or Displacement,12,0.24
91,Bensonhurst West,LI - Not Losing Low Income Households,13,0.26
92,Bensonhurst West,LI - Ongoing Gentrification and/or Displacement,12,0.24
93,Bensonhurst West,MHI - Advanced Exclusion,3,0.06
94,Bensonhurst West,MHI - Advanced Gentrification,5,0.1
95,Bensonhurst West,MHI - At Risk of Exclusion,4,0.08
96,Bensonhurst West,MHI - Ongoing Exclusion,1,0.02
97,Borough Park,LI - At Risk of Gentrification and/or Displacement,19,0.37254901960784315
98,Borough Park,LI - Not Losing Low Income Households,13,0.2549019607843137
99,Borough Park,LI - Ongoing Gentrification and/or Displacement,15,0.29411764705882354
100,Borough Park,MHI - Advanced Exclusion,2,0.0392156862745098
101,Borough Park,MHI - Advanced Gentrification,1,0.0196078431372549
102,Borough Park,MHI - Not Losing Low Income Households,1,0.0196078431372549
103,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,LI - At Risk of Gentrification and/or Displacement,1,0.07692307692307693
104,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,LI - Ongoing Gentrification and/or Displacement,3,0.23076923076923078
105,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,MHI - Advanced Exclusion,2,0.15384615384615385
106,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,MHI - At Risk of Exclusion,1,0.07692307692307693
107,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,MHI - Not Losing Low Income Households,5,0.38461538461538464
108,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,MHI - Ongoing Exclusion,1,0.07692307692307693
109,Briarwood-Jamaica Hills,LI - At Risk of Gentrification and/or Displacement,6,0.2727272727272727
110,Briarwood-Jamaica Hills,LI - Not Losing Low Income Households,5,0.22727272727272727
111,Briarwood-Jamaica Hills,MHI - Advanced Exclusion,2,0.09090909090909091
112,Briarwood-Jamaica Hills,MHI - Advanced Gentrification,1,0.045454545454545456
113,Briarwood-Jamaica Hills,MHI - Not Losing Low Income Households,6,0.2727272727272727
114,Briarwood-Jamaica Hills,MHI - Ongoing Exclusion,2,0.09090909090909091
115,Brighton Beach,LI - At Risk of Gentrification and/or Displacement,2,0.10526315789473684
116,Brighton Beach,LI - Not Losing Low Income Households,8,0.42105263157894735
117,Brighton Beach,LI - Ongoing Gentrification and/or Displacement,4,0.21052631578947367
118,Brighton Beach,MHI - Advanced Exclusion,2,0.10526315789473684
119,Brighton Beach,MHI - Not Losing Low Income Households,2,0.10526315789473684
120,Brighton Beach,MHI - Ongoing Exclusion,1,0.05263157894736842
121,Bronxdale,LI - At Risk of Gentrification and/or Displacement,3,0.1875
122,Bronxdale,LI - Not Losing Low Income Households,3,0.1875
123,Bronxdale,LI - Ongoing Gentrification and/or Displacement,2,0.125
124,Bronxdale,MHI - Advanced Exclusion,2,0.125
125,Bronxdale,MHI - Advanced Gentrification,2,0.125
126,Bronxdale,MHI - Not Losing Low Income Households,3,0.1875
127,Bronxdale,MHI - Ongoing Exclusion,1,0.0625
128,Brooklyn Heights-Cobble Hill,MHI - Advanced Exclusion,8,0.5714285714285714
129,Brooklyn Heights-Cobble Hill,MHI - Advanced Gentrification,1,0.07142857142857142
130,Brooklyn Heights-Cobble Hill,MHI - At Risk of Exclusion,4,0.2857142857142857
131,Brooklyn Heights-Cobble Hill,MHI - Ongoing Exclusion,1,0.07142857142857142
132,Brownsville,LI - At Risk of Gentrification and/or Displacement,10,0.37037037037037035
133,Brownsville,LI - Not Losing Low Income Households,12,0.4444444444444444
134,Brownsville,LI - Ongoing Gentrification and/or Displacement,5,0.18518518518518517
135,Bushwick North,LI - At Risk of Gentrification and/or Displacement,5,0.16666666666666666
136,Bushwick North,LI - Not Losing Low Income Households,1,0.03333333333333333
137,Bushwick North,LI - Ongoing Gentrification and/or Displacement,20,0.6666666666666666
138,Bushwick North,MHI - Advanced Gentrification,4,0.13333333333333333
139,Bushwick South,LI - At Risk of Gentrification and/or Displacement,7,0.15217391304347827
140,Bushwick South,LI - Not Losing Low Income Households,5,0.10869565217391304
141,Bushwick South,LI - Ongoing Gentrification and/or Displacement,26,0.5652173913043478
142,Bushwick South,MHI - Advanced Gentrification,7,0.15217391304347827
143,Bushwick South,MHI - Not Losing Low Income Households,1,0.021739130434782608
144,Cambria Heights,LI - Not Losing Low Income Households,1,0.037037037037037035
145,Cambria Heights,MHI - Advanced Exclusion,4,0.14814814814814814
146,Cambria Heights,MHI - At Risk of Exclusion,3,0.1111111111111111
147,Cambria Heights,MHI - Not Losing Low Income Households,16,0.5925925925925926
148,Cambria Heights,MHI - Ongoing Exclusion,3,0.1111111111111111
149,Canarsie,LI - Not Losing Low Income Households,8,0.17391304347826086
150,Canarsie,LI - Ongoing Gentrification and/or Displacement,1,0.021739130434782608
151,Canarsie,MHI - Advanced Exclusion,3,0.06521739130434782
152,Canarsie,MHI - Advanced Gentrification,6,0.13043478260869565
153,Canarsie,MHI - At Risk of Exclusion,2,0.043478260869565216
154,Canarsie,MHI - Not Losing Low Income Households,22,0.4782608695652174
155,Canarsie,MHI - Ongoing Exclusion,4,0.08695652173913043
156,Carroll Gardens-Columbia Street-Red Hook,LI - Not Losing Low Income Households,2,0.1
157,Carroll Gardens-Columbia Street-Red Hook,MHI - Advanced Exclusion,10,0.5
158,Carroll Gardens-Columbia Street-Red Hook,MHI - Advanced Gentrification,2,0.1
159,Carroll Gardens-Columbia Street-Red Hook,MHI - At Risk of Exclusion,1,0.05
160,Carroll Gardens-Columbia Street-Red Hook,MHI - Not Losing Low Income Households,1,0.05
161,Carroll Gardens-Columbia Street-Red Hook,MHI - Ongoing Exclusion,4,0.2
162,Central Harlem North-Polo Grounds,LI - At Risk of Gentrification and/or Displacement,6,0.2222222222222222
163,Central Harlem North-Polo Grounds,LI - Not Losing Low Income Households,3,0.1111111111111111
164,Central Harlem North-Polo Grounds,LI - Ongoing Gentrification and/or Displacement,16,0.5925925925925926
165,Central Harlem North-Polo Grounds,MHI - Not Losing Low Income Households,2,0.07407407407407407
166,Central Harlem South,LI - At Risk of Gentrification and/or Displacement,3,0.13636363636363635
167,Central Harlem South,LI - Not Losing Low Income Households,3,0.13636363636363635
168,Central Harlem South,LI - Ongoing Gentrification and/or Displacement,15,0.6818181818181818
169,Central Harlem South,MHI - Not Losing Low Income Households,1,0.045454545454545456
170,Charleston-Richmond Valley-Tottenville,LI - Not Losing Low Income Households,3,0.375
171,Charleston-Richmond Valley-Tottenville,MHI - Advanced Exclusion,3,0.375
172,Charleston-Richmond Valley-Tottenville,MHI - Not Losing Low Income Households,2,0.25
173,Chinatown,LI - At Risk of Gentrification and/or Displacement,2,0.1111111111111111
174,Chinatown,LI - Not Losing Low Income Households,1,0.05555555555555555
175,Chinatown,LI - Ongoing Gentrification and/or Displacement,13,0.7222222222222222
176,Chinatown,MHI - Advanced Exclusion,2,0.1111111111111111
177,Claremont-Bathgate,LI - At Risk of Gentrification and/or Displacement,11,0.4583333333333333
178,Claremont-Bathgate,LI - Not Losing Low Income Households,4,0.16666666666666666
179,Claremont-Bathgate,LI - Ongoing Gentrification and/or Displacement,7,0.2916666666666667
180,Claremont-Bathgate,MHI - Not Losing Low Income Households,2,0.08333333333333333
181,Clinton,LI - At Risk of Gentrification and/or Displacement,1,0.058823529411764705
182,Clinton,LI - Ongoing Gentrification and/or Displacement,5,0.29411764705882354
183,Clinton,MHI - Advanced Exclusion,3,0.17647058823529413
184,Clinton,MHI - Advanced Gentrification,5,0.29411764705882354
185,Clinton,MHI - At Risk of Exclusion,2,0.11764705882352941
186,Clinton,MHI - Not Losing Low Income Households,1,0.058823529411764705
187,Clinton Hill,LI - At Risk of Gentrification and/or Displacement,4,0.16
188,Clinton Hill,LI - Ongoing Gentrification and/or Displacement,3,0.12
189,Clinton Hill,MHI - Advanced Exclusion,5,0.2
190,Clinton Hill,MHI - Advanced Gentrification,11,0.44
191,Clinton Hill,MHI - At Risk of Exclusion,2,0.08
192,College Point,LI - At Risk of Gentrification and/or Displacement,1,0.1
193,College Point,LI - Not Losing Low Income Households,3,0.3
194,College Point,LI - Ongoing Gentrification and/or Displacement,2,0.2
195,College Point,MHI - Advanced Exclusion,1,0.1
196,College Point,MHI - At Risk of Exclusion,1,0.1
197,College Point,MHI - Not Losing Low Income Households,1,0.1
198,College Point,MHI - Ongoing Exclusion,1,0.1
199,Co-op City,LI - Ongoing Gentrification and/or Displacement,2,0.18181818181818182
200,Co-op City,MHI - Advanced Exclusion,7,0.6363636363636364
201,Co-op City,MHI - Not Losing Low Income Households,1,0.09090909090909091
202,Co-op City,MHI - Ongoing Exclusion,1,0.09090909090909091
203,Corona,LI - At Risk of Gentrification and/or Displacement,9,0.36
204,Corona,LI - Not Losing Low Income Households,11,0.44
205,Corona,LI - Ongoing Gentrification and/or Displacement,4,0.16
206,Corona,MHI - Not Losing Low Income Households,1,0.04
207,Crotona Park East,LI - At Risk of Gentrification and/or Displacement,8,0.38095238095238093
208,Crotona Park East,LI - Not Losing Low Income Households,6,0.2857142857142857
209,Crotona Park East,LI - Ongoing Gentrification and/or Displacement,5,0.23809523809523808
210,Crotona Park East,MHI - Advanced Gentrification,1,0.047619047619047616
211,Crotona Park East,MHI - Not Losing Low Income Households,1,0.047619047619047616
212,Crown Heights North,LI - At Risk of Gentrification and/or Displacement,11,0.21153846153846154
213,Crown Heights North,LI - Not Losing Low Income Households,5,0.09615384615384616
214,Crown Heights North,LI - Ongoing Gentrification and/or Displacement,22,0.4230769230769231
215,Crown Heights North,MHI - Advanced Exclusion,3,0.057692307692307696
216,Crown Heights North,MHI - Advanced Gentrification,10,0.19230769230769232
217,Crown Heights North,MHI - At Risk of Exclusion,1,0.019230769230769232
218,Crown Heights South,LI - At Risk of Gentrification and/or Displacement,8,0.34782608695652173
219,Crown Heights South,LI - Not Losing Low Income Households,4,0.17391304347826086
220,Crown Heights South,LI - Ongoing Gentrification and/or Displacement,5,0.21739130434782608
221,Crown Heights South,MHI - Advanced Exclusion,2,0.08695652173913043
222,Crown Heights South,MHI - Advanced Gentrification,2,0.08695652173913043
223,Crown Heights South,MHI - At Risk of Exclusion,1,0.043478260869565216
224,Crown Heights South,MHI - Not Losing Low Income Households,1,0.043478260869565216
225,Cypress Hills-City Line,LI - At Risk of Gentrification and/or Displacement,12,0.35294117647058826
226,Cypress Hills-City Line,LI - Not Losing Low Income Households,7,0.20588235294117646
227,Cypress Hills-City Line,LI - Ongoing Gentrification and/or Displacement,8,0.23529411764705882
228,Cypress Hills-City Line,MHI - Advanced Gentrification,2,0.058823529411764705
229,Cypress Hills-City Line,MHI - Not Losing Low Income Households,4,0.11764705882352941
230,Cypress Hills-City Line,MHI - Ongoing Exclusion,1,0.029411764705882353
231,Douglas Manor-Douglaston-Little Neck,LI - Not Losing Low Income Households,2,0.16666666666666666
232,Douglas Manor-Douglaston-Little Neck,MHI - Advanced Exclusion,2,0.16666666666666666
233,Douglas Manor-Douglaston-Little Neck,MHI - At Risk of Exclusion,1,0.08333333333333333
234,Douglas Manor-Douglaston-Little Neck,MHI - Not Losing Low Income Households,6,0.5
235,Douglas Manor-Douglaston-Little Neck,MHI - Ongoing Exclusion,1,0.08333333333333333
236,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,LI - At Risk of Gentrification and/or Displacement,2,0.06060606060606061
237,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,LI - Not Losing Low Income Households,4,0.12121212121212122
238,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,LI - Ongoing Gentrification and/or Displacement,5,0.15151515151515152
239,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,MHI - Advanced Exclusion,9,0.2727272727272727
240,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,MHI - Advanced Gentrification,6,0.18181818181818182
241,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,MHI - At Risk of Exclusion,4,0.12121212121212122
242,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,MHI - Ongoing Exclusion,3,0.09090909090909091
243,Dyker Heights,LI - At Risk of Gentrification and/or Displacement,5,0.15625
244,Dyker Heights,LI - Not Losing Low Income Households,2,0.0625
245,Dyker Heights,LI - Ongoing Gentrification and/or Displacement,6,0.1875
246,Dyker Heights,MHI - Advanced Exclusion,4,0.125
247,Dyker Heights,MHI - Advanced Gentrification,2,0.0625
248,Dyker Heights,MHI - At Risk of Exclusion,9,0.28125
249,Dyker Heights,MHI - Not Losing Low Income Households,3,0.09375
250,Dyker Heights,MHI - Ongoing Exclusion,1,0.03125
251,Eastchester-Edenwald-Baychester,LI - Not Losing Low Income Households,2,0.08
252,Eastchester-Edenwald-Baychester,LI - Ongoing Gentrification and/or Displacement,3,0.12
253,Eastchester-Edenwald-Baychester,MHI - Advanced Exclusion,10,0.4
254,Eastchester-Edenwald-Baychester,MHI - At Risk of Exclusion,1,0.04
255,Eastchester-Edenwald-Baychester,MHI - Not Losing Low Income Households,7,0.28
256,Eastchester-Edenwald-Baychester,MHI - Ongoing Exclusion,2,0.08
257,East Concourse-Concourse Village,LI - At Risk of Gentrification and/or Displacement,13,0.48148148148148145
258,East Concourse-Concourse Village,LI - Not Losing Low Income Households,2,0.07407407407407407
259,East Concourse-Concourse Village,LI - Ongoing Gentrification and/or Displacement,8,0.2962962962962963
260,East Concourse-Concourse Village,MHI - Advanced Exclusion,1,0.037037037037037035
261,East Concourse-Concourse Village,MHI - Advanced Gentrification,2,0.07407407407407407
262,East Concourse-Concourse Village,MHI - Not Losing Low Income Households,1,0.037037037037037035
263,East Elmhurst,LI - At Risk of Gentrification and/or Displacement,7,0.4375
264,East Elmhurst,LI - Not Losing Low Income Households,5,0.3125
265,East Elmhurst,LI - Ongoing Gentrification and/or Displacement,2,0.125
266,East Elmhurst,MHI - Not Losing Low Income Households,2,0.125
267,East Flatbush-Farragut,LI - At Risk of Gentrification and/or Displacement,9,0.2571428571428571
268,East Flatbush-Farragut,LI - Not Losing Low Income Households,7,0.2
269,East Flatbush-Farragut,LI - Ongoing Gentrification and/or Displacement,3,0.08571428571428572
270,East Flatbush-Farragut,MHI - Advanced Exclusion,1,0.02857142857142857
271,East Flatbush-Farragut,MHI - Advanced Gentrification,2,0.05714285714285714
272,East Flatbush-Farragut,MHI - At Risk of Exclusion,2,0.05714285714285714
273,East Flatbush-Farragut,MHI - Not Losing Low Income Households,11,0.3142857142857143
274,East Flushing,LI - At Risk of Gentrification and/or Displacement,4,0.17391304347826086
275,East Flushing,LI - Not Losing Low Income Households,10,0.43478260869565216
276,East Flushing,LI - Ongoing Gentrification and/or Displacement,1,0.043478260869565216
277,East Flushing,MHI - Advanced Exclusion,2,0.08695652173913043
278,East Flushing,MHI - At Risk of Exclusion,1,0.043478260869565216
279,East Flushing,MHI - Not Losing Low Income Households,4,0.17391304347826086
280,East Flushing,MHI - Ongoing Exclusion,1,0.043478260869565216
281,East Harlem North,LI - At Risk of Gentrification and/or Displacement,5,0.22727272727272727
282,East Harlem North,LI - Not Losing Low Income Households,6,0.2727272727272727
283,East Harlem North,LI - Ongoing Gentrification and/or Displacement,10,0.45454545454545453
284,East Harlem North,MHI - Not Losing Low Income Households,1,0.045454545454545456
285,East Harlem South,LI - At Risk of Gentrification and/or Displacement,4,0.2
286,East Harlem South,LI - Not Losing Low Income Households,2,0.1
287,East Harlem South,LI - Ongoing Gentrification and/or Displacement,8,0.4
288,East Harlem South,MHI - Advanced Exclusion,2,0.1
289,East Harlem South,MHI - At Risk of Exclusion,1,0.05
290,East Harlem South,MHI - Not Losing Low Income Households,2,0.1
291,East Harlem South,MHI - Ongoing Exclusion,1,0.05
292,East New York,LI - At Risk of Gentrification and/or Displacement,11,0.22448979591836735
293,East New York,LI - Not Losing Low Income Households,21,0.42857142857142855
294,East New York,LI - Ongoing Gentrification and/or Displacement,11,0.22448979591836735
295,East New York,MHI - Advanced Gentrification,2,0.04081632653061224
296,East New York,MHI - At Risk of Exclusion,1,0.02040816326530612
297,East New York,MHI - Not Losing Low Income Households,3,0.061224489795918366
298,East New York (Pennsylvania Ave),LI - At Risk of Gentrification and/or Displacement,7,0.3181818181818182
299,East New York (Pennsylvania Ave),LI - Not Losing Low Income Households,9,0.4090909090909091
300,East New York (Pennsylvania Ave),LI - Ongoing Gentrification and/or Displacement,6,0.2727272727272727
301,East Tremont,LI - At Risk of Gentrification and/or Displacement,10,0.4166666666666667
302,East Tremont,LI - Not Losing Low Income Households,4,0.16666666666666666
303,East Tremont,LI - Ongoing Gentrification and/or Displacement,7,0.2916666666666667
304,East Tremont,MHI - Advanced Gentrification,1,0.041666666666666664
305,East Tremont,MHI - Not Losing Low Income Households,2,0.08333333333333333
306,East Village,LI - Not Losing Low Income Households,1,0.05263157894736842
307,East Village,LI - Ongoing Gentrification and/or Displacement,10,0.5263157894736842
308,East Village,MHI - Advanced Exclusion,3,0.15789473684210525
309,East Village,MHI - Advanced Gentrification,2,0.10526315789473684
310,East Village,MHI - At Risk of Exclusion,3,0.15789473684210525
311,East Williamsburg,LI - At Risk of Gentrification and/or Displacement,2,0.07407407407407407
312,East Williamsburg,LI - Not Losing Low Income Households,2,0.07407407407407407
313,East Williamsburg,LI - Ongoing Gentrification and/or Displacement,8,0.2962962962962963
314,East Williamsburg,MHI - Advanced Exclusion,2,0.07407407407407407
315,East Williamsburg,MHI - Advanced Gentrification,13,0.48148148148148145
316,Elmhurst,LI - At Risk of Gentrification and/or Displacement,13,0.34210526315789475
317,Elmhurst,LI - Not Losing Low Income Households,15,0.39473684210526316
318,Elmhurst,LI - Ongoing Gentrification and/or Displacement,8,0.21052631578947367
319,Elmhurst,MHI - Advanced Exclusion,1,0.02631578947368421
320,Elmhurst,MHI - Not Losing Low Income Households,1,0.02631578947368421
321,Elmhurst-Maspeth,LI - At Risk of Gentrification and/or Displacement,8,0.36363636363636365
322,Elmhurst-Maspeth,LI - Not Losing Low Income Households,9,0.4090909090909091
323,Elmhurst-Maspeth,MHI - Advanced Exclusion,1,0.045454545454545456
324,Elmhurst-Maspeth,MHI - Advanced Gentrification,3,0.13636363636363635
325,Elmhurst-Maspeth,MHI - Not Losing Low Income Households,1,0.045454545454545456
326,Erasmus,LI - At Risk of Gentrification and/or Displacement,17,0.7727272727272727
327,Erasmus,LI - Not Losing Low Income Households,2,0.09090909090909091
328,Erasmus,LI - Ongoing Gentrification and/or Displacement,3,0.13636363636363635
329,Far Rockaway-Bayswater,LI - At Risk of Gentrification and/or Displacement,1,0.08333333333333333
330,Far Rockaway-Bayswater,LI - Not Losing Low Income Households,6,0.5
331,Far Rockaway-Bayswater,LI - Ongoing Gentrification and/or Displacement,3,0.25
332,Far Rockaway-Bayswater,MHI - Advanced Exclusion,1,0.08333333333333333
333,Far Rockaway-Bayswater,MHI - Ongoing Exclusion,1,0.08333333333333333
334,Flatbush,LI - At Risk of Gentrification and/or Displacement,22,0.4489795918367347
335,Flatbush,LI - Not Losing Low Income Households,7,0.14285714285714285
336,Flatbush,LI - Ongoing Gentrification and/or Displacement,4,0.08163265306122448
337,Flatbush,MHI - Advanced Exclusion,4,0.08163265306122448
338,Flatbush,MHI - Advanced Gentrification,2,0.04081632653061224
339,Flatbush,MHI - At Risk of Exclusion,4,0.08163265306122448
340,Flatbush,MHI - Not Losing Low Income Households,5,0.10204081632653061
341,Flatbush,MHI - Ongoing Exclusion,1,0.02040816326530612
342,Flatlands,LI - At Risk of Gentrification and/or Displacement,1,0.02040816326530612
343,Flatlands,LI - Not Losing Low Income Households,4,0.08163265306122448
344,Flatlands,MHI - Advanced Exclusion,8,0.16326530612244897
345,Flatlands,MHI - Advanced Gentrification,3,0.061224489795918366
346,Flatlands,MHI - At Risk of Exclusion,6,0.12244897959183673
347,Flatlands,MHI - Not Losing Low Income Households,21,0.42857142857142855
348,Flatlands,MHI - Ongoing Exclusion,6,0.12244897959183673
349,Flushing,LI - At Risk of Gentrification and/or Displacement,2,0.08
350,Flushing,LI - Not Losing Low Income Households,18,0.72
351,Flushing,LI - Ongoing Gentrification and/or Displacement,2,0.08
352,Flushing,MHI - Not Losing Low Income Households,2,0.08
353,Flushing,MHI - Ongoing Exclusion,1,0.04
354,Fordham South,LI - At Risk of Gentrification and/or Displacement,6,0.35294117647058826
355,Fordham South,LI - Not Losing Low Income Households,1,0.058823529411764705
356,Fordham South,LI - Ongoing Gentrification and/or Displacement,10,0.5882352941176471
357,Forest Hills,LI - At Risk of Gentrification and/or Displacement,1,0.029411764705882353
358,Forest Hills,LI - Not Losing Low Income Households,6,0.17647058823529413
359,Forest Hills,LI - Ongoing Gentrification and/or Displacement,3,0.08823529411764706
360,Forest Hills,MHI - Advanced Exclusion,12,0.35294117647058826
361,Forest Hills,MHI - Advanced Gentrification,3,0.08823529411764706
362,Forest Hills,MHI - At Risk of Exclusion,3,0.08823529411764706
363,Forest Hills,MHI - Not Losing Low Income Households,6,0.17647058823529413
